,Playlist Name,Description,Tracks,Followers,URL
308,This Is Tony Bennett,"The essential tracks, all in one playlist.",50,99274,https://open.spotify.com/playlist/37i9dQZF1DX4c84KflUhSt
309,This Is Trentemøller,Immerse yourself in the dark and beautiful sound of Trentemøller.,35,35412,https://open.spotify.com/playlist/37i9dQZF1DX4cEqBpR9k1C
310,This Is U2,"The greatest hits of U2, all in one place.",58,982650,https://open.spotify.com/playlist/37i9dQZF1DX8kI525v95Yu
311,This Is Van Morrison,"Van Morrison, the essential tracks, all in one playlist.",57,227595,https://open.spotify.com/playlist/37i9dQZF1DWUHyTgDVMaG1
312,This Is Volbeat,Check out the essential tracks by Volbeat.,43,292520,https://open.spotify.com/playlist/37i9dQZF1DWYrXu9rm1zUZ
313,This is: Wiley,Immerse yourself in the sounds of The Godfather of Grime - Wiley,47,23458,https://open.spotify.com/playlist/37i9dQZF1DXbW9wx2hgf03
314,This Is The Fall,"Their finest work, in one playlist",62,18517,https://open.spotify.com/playlist/37i9dQZF1DX7mMRxgkst0Y
315,Best of John Peel Sessions,"Celebrate legendary DJ/BBC Radio 1 host John Peel's legacy in this collection of highlights from 5 decades of <a href=""https://en.wikipedia.org/wiki/List_of_Peel_sessions"">Peel Sessions</a>. Hear Pavement covering <a href=""spotify:user:spotify:playlist:37i9dQZF1DX7mMRxgkst0Y"">The Fall</a>, acoustic Morrissey, Nirvana before Nevermind, Bowie debuting Hunky Dory outtake, and many more.",60,79106,https://open.spotify.com/playlist/37i9dQZF1DWY3pbjsJ6MxA
316,This Is The xx,A selection of the best songs from their albums and beyond.,30,225208,https://open.spotify.com/playlist/37i9dQZF1DWSp9aN7lDNHp
317,This Is: David Axelrod,,23,11200,https://open.spotify.com/playlist/37i9dQZF1DX4n3DaGTtM0p
318,Classical Romance,"Spend some quality time with these romantic <a href=""spotify:genre:classical"">classical</a> masterpieces.",97,372366,https://open.spotify.com/playlist/37i9dQZF1DX4s3V2rTswzO
319,Baroque Classics,Classics from the Baroque era. ,37,184972,https://open.spotify.com/playlist/37i9dQZF1DWXjj6kdiviS0
320,This Is John Coltrane,The jazz giant's classic recordings.,50,158590,https://open.spotify.com/playlist/37i9dQZF1DWVx3vT1QCKCV
