,Playlist Name,Description,Tracks,Followers,URL
1,Today's Top Hits,Dua Lipa & Elton John are on top of the Hottest 50!,50,29956585,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2,RapCaviar,"New music from Juice WRLD, Polo G and DaBaby. ",50,14184039,https://open.spotify.com/playlist/37i9dQZF1DX0XUsuxWHRQd
3,Hot Country,"Today's top country hits of the week, worldwide! Cover: Luke Combs",54,6552911,https://open.spotify.com/playlist/37i9dQZF1DX1lVhptIYRda
4,Viva Latino,"Today's top Latin hits, elevando nuestra música. Cover: KAROL G",51,11390876,https://open.spotify.com/playlist/37i9dQZF1DX10zKzsJ2jva
5,New Music Friday,"New music from Taylor Swift, Silk Sonic, Juice WRLD, Beyoncé, and more! ",100,3836367,https://open.spotify.com/playlist/37i9dQZF1DX4JAvHpjipBk
6,Peaceful Piano,Relax and indulge with beautiful piano pieces,424,6362031,https://open.spotify.com/playlist/37i9dQZF1DX4sWSpwq3LiO
7,Are & Be,The pulse of R&B music today.  Cover: Silk Sonic,50,5768993,https://open.spotify.com/playlist/37i9dQZF1DX4SBhb3fqCJd
8,Rock Classics,"Legendary album ""Led Zeppelin IV"" is celebrating its 50th anniversary.",166,9640464,https://open.spotify.com/playlist/37i9dQZF1DWXRqgorJj26U
9,mint,"The world's biggest dance hits. Featuring new music from Chris Lake & NPC, Doss, Vintage Culture & James Hype and more!",94,5869088,https://open.spotify.com/playlist/37i9dQZF1DX4dyzvuaRJ0n
10,Rock This,"The newest music from Avril Lavigne, along with the top Rock songs you need to know.",50,4586627,https://open.spotify.com/playlist/37i9dQZF1DXcF6B6QPhFDv
11,New Music Friday,The very best in new music from around the world. Cover: Bruno Mars & Anderson .Paak as Silk Sonic,97,290745,https://open.spotify.com/playlist/37i9dQZF1DWXJfnUiYjUKT
12,just hits,Current favorites and exciting new music. Cover: Adele,99,2251042,https://open.spotify.com/playlist/37i9dQZF1DXcRXFNfZr7Tp
13,All Out 2000s,The biggest songs of the 2000s. Cover: Amy Winehouse.,150,9658491,https://open.spotify.com/playlist/37i9dQZF1DX4o1oenSJRJd
14,All Out 90s,The biggest songs of the 1990s.,150,6949295,https://open.spotify.com/playlist/37i9dQZF1DXbTxeAdrVG2l
15,All Out 80s,The biggest songs of the 1980s.,150,9018273,https://open.spotify.com/playlist/37i9dQZF1DX4UtSsGT1Sbe
16,All Out 70s,The biggest songs of the 1970s. Cover: ABBA.,150,4487010,https://open.spotify.com/playlist/37i9dQZF1DWTJ7xPn4vNaz
17,All Out 60s,The biggest songs of the 1960s.,150,2552713,https://open.spotify.com/playlist/37i9dQZF1DXaKIA8E7WcJj
18,All Out 50s,The biggest songs of the 1950s.,150,1436417,https://open.spotify.com/playlist/37i9dQZF1DWSV3Tk4GO2fq
19,Soft Pop Hits,Listen to easy songs from your favorite artists! Cover: John Legend,100,5646034,https://open.spotify.com/playlist/37i9dQZF1DWTwnEm1IYyoj
20,Signed XOXO,Crossing over like Allen I. Cover: Summer Walker,101,1866136,https://open.spotify.com/playlist/37i9dQZF1DX2A29LI7xHn1
21,Most Necessary,The official voice of generation next. Cover: 22Gz,101,2567941,https://open.spotify.com/playlist/37i9dQZF1DX2RxBh64BHjQ
22,Gold School,Taking it back. Cover: Foxy Brown,50,2400236,https://open.spotify.com/playlist/37i9dQZF1DWVA1Gq4XHa6U
23,Get Turnt,Mode: Turnt,100,6101126,https://open.spotify.com/playlist/37i9dQZF1DWY4xHQp97fN6
24,B.A.E.,Hip-Hop + R&B: Before. Anything. Else. Cover: Don Toliver,51,1863776,https://open.spotify.com/playlist/37i9dQZF1DWX3387IZmjNa
25,African Heat,"The tracks heating up the continent right now! Cover: <a href=""https://open.spotify.com/artist/3bxZkzk0PLHcetO9o4oxXn?si=AfcWUwUvQfCf8JPKuwYw0A""> Reekado Banks </a> ",50,837266,https://open.spotify.com/playlist/37i9dQZF1DWYkaDif7Ztbp
26,Mind Right,The Real hip-hop. Cover: Westside Gunn,50,1054557,https://open.spotify.com/playlist/37i9dQZF1DX5hR0J49CmXC
27,Dancehall Official,The best in new & current Dancehall. Cover: Koffee,75,938644,https://open.spotify.com/playlist/37i9dQZF1DXan38dNVDdl4
28,Westside Story,Holdin' it down for the westside. Cover: Aminé,50,675818,https://open.spotify.com/playlist/37i9dQZF1DWSvKsRPPnv5o
29,Power Workout,For whatever activity you do that may need a punch of intensity!,50,3817155,https://open.spotify.com/playlist/37i9dQZF1DWUVpAXiEPK8P
30,No Cap,The hottest out the south. Cover: Gunna,52,1001976,https://open.spotify.com/playlist/37i9dQZF1DX0Tkc6ltcBfU
31,State of Mind,Up and down I-95. Cover: French Montana,50,391578,https://open.spotify.com/playlist/37i9dQZF1DX1YPTAhwehsC
32,Alternative Hip-Hop,"New, leftfield and for the real hip-hop stans! Cover: Bktherula",50,779388,https://open.spotify.com/playlist/37i9dQZF1DWTggY0yqBxES
33,Workout Twerkout,Get your body right with this workout twerkout,50,1725353,https://open.spotify.com/playlist/37i9dQZF1DX0HRj9P7NxeE
34,We Everywhere,"Afro sounds crossing borders. Top Afro Bashment, Pop, Fusion / X-Overs from all across the world.  Cover: <a href=""spotify:artist:3tVQdUvClmAT7URs9V3rsp"">WizKid</a>",100,482268,https://open.spotify.com/playlist/37i9dQZF1DWT6SJaitNDax
35,Black History Salute,Saluting the songs and artists that have filled us with pride.,26,262979,https://open.spotify.com/playlist/37i9dQZF1DX2r0FByV5U4C
36,Behind The Lyrics: Hip Hop,"Watch your screen as you listen to see lyrics, fun facts, and artist stories from Genius! (on mobile only)",50,48165,https://open.spotify.com/playlist/37i9dQZF1DXaKctwWdt4be
37,New Noise,Here's your cheat sheet for everything new in the rock/alt world. Cover: Liily,150,374151,https://open.spotify.com/playlist/37i9dQZF1DWT2jS7NwYPVI
38,The New Alt,No rules. No boundaries. Just cool music you need to hear. / Cover & Takeover by UPSAHL,118,1046068,https://open.spotify.com/playlist/37i9dQZF1DX82GYcclJ3Ug
39,Rock Solid,New classics and essential cuts from all your favorite rock bands. Cover: Rage Against The Machine,80,1273660,https://open.spotify.com/playlist/37i9dQZF1DX49jUV2NfGku
40,Rock This: Best of 2017,A look back at some of the most impactful songs of 2017.,100,58475,https://open.spotify.com/playlist/37i9dQZF1DX1Jg9KZ76Rr9
41,Rock Party,The ultimate rock party playlist!,145,1970275,https://open.spotify.com/playlist/37i9dQZF1DX8FwnYE6PRvL
42,You & Me,It's just us - and this awesome alt soundtrack.,100,763386,https://open.spotify.com/playlist/37i9dQZF1DX6mvEU1S6INL
43,It's ALT Good!,ALT the Good Vibes.,100,632569,https://open.spotify.com/playlist/37i9dQZF1DX2SK4ytI2KAZ
44,The Scene,"Call it pop-punk, emo, post-hardcore, whatever you want. We call it all awesome. Cover: Waterparks",150,407778,https://open.spotify.com/playlist/37i9dQZF1DWZkHEX2YHpDV
45,Rock Hard,For those who like the newest songs loud. Very loud. Cover: Bad Wolves,150,796923,https://open.spotify.com/playlist/37i9dQZF1DWWJOmJ7nRx0C
46,This Is Ryan Adams,"The essential Ryan Adams, all in one place.",57,36464,https://open.spotify.com/playlist/37i9dQZF1DXdXKIWnpyigm
47,This Is The Black Keys,One of the most iconic bands of recent time. Here is the best of The Black Keys.,52,219121,https://open.spotify.com/playlist/37i9dQZF1DX2rBR3X9E86S
48,This Is Tom Petty,"Experience Tom Petty's final project, ""Wildflowers & All The Rest,"" the way he originally envisioned it.",78,285691,https://open.spotify.com/playlist/37i9dQZF1DWUlZhYdX0uqM
49,This Is Nirvana,"The best of Nirvana, all in one place.",45,1036251,https://open.spotify.com/playlist/37i9dQZF1DX82CY3GzF2m6
50,This Is Ramones,"The essential Ramones, all in one playlist.",34,174348,https://open.spotify.com/playlist/37i9dQZF1DWWc7UGhP4Mpw
51,This Is Green Day,"Welcome to Paradise, Green Day fans!",50,829018,https://open.spotify.com/playlist/37i9dQZF1DWVPJN9etkrEa
52,This Is Metallica,"The best of Metallica, all in one playlist.",60,1453859,https://open.spotify.com/playlist/37i9dQZF1DXbj9Ksq4BAdj
53,This Is Jane's Addiction,Jane says these are the essentials.,40,26742,https://open.spotify.com/playlist/37i9dQZF1DXcGV9sg8bMdx
54,This Is Oasis,"The best of Oasis, all in one playlist.",50,771033,https://open.spotify.com/playlist/37i9dQZF1DWXupFIUw7TOC
55,This Is KISS,"The essential KISS, all in one place.",50,310814,https://open.spotify.com/playlist/37i9dQZF1DX5L9gRaHajqj
56,Dirty Rock,Get down and dirty with these bluesy rock songs. Cover: Royal Blood,140,399985,https://open.spotify.com/playlist/37i9dQZF1DWY6vTWIdZ54A
57,One More Rep,Rock this list to help you rock that last rep. Gainz.,100,616276,https://open.spotify.com/playlist/37i9dQZF1DX5OUjSS1OMgV
58,90s Rock Anthems,These songs rocked the 90s.,151,4505021,https://open.spotify.com/playlist/37i9dQZF1DX1rVvRgjX59F
59,Soak Up the Sun,Drink up these tunes and all the feels. Good vibes only.,120,924296,https://open.spotify.com/playlist/37i9dQZF1DX6ALfRKlHn1t
60,License To Chill,Chill out with these awesome alt songs.,150,357266,https://open.spotify.com/playlist/37i9dQZF1DXa9xHlDa5fc6
61,Rockin' Vibes,"The best in alt, folk, and indie rock. Cover: Nathaniel Rateliff",110,447484,https://open.spotify.com/playlist/37i9dQZF1DX2aneNMeYHQ8
62,Rock Ballads,"Chill out with these awesome rock ballads. Cover: <a href=""spotify:artist:6Wr3hh341P84m3EI8qdn9O"">Rise Against</a>",100,581333,https://open.spotify.com/playlist/37i9dQZF1DWXs1L3AC0Xio
63,New Alt-Rock Mixtape,This is the best of today's true alternative rock scene.,150,451418,https://open.spotify.com/playlist/37i9dQZF1DXa6YOhGMjjgx
64,Nu Metal Generation,The sound of a g-g-generation.,70,1199932,https://open.spotify.com/playlist/37i9dQZF1DXcfZ6moR6J0G
65,Alternative Beats,Alternative meets electronic. Cover: Royal & the Serpent,105,387674,https://open.spotify.com/playlist/37i9dQZF1DWXMg4uP5o3dm
66,Rock Covers,"Sometimes a cover can be even better than the original. You decide. Cover: Tom Morello, Eddie Vedder, & Bruce Springsteen",100,573689,https://open.spotify.com/playlist/37i9dQZF1DX2S9rTKTX6JP
67,Shoegaze Classics,The essential beautiful noise: sweet and sour fuzz to warm your heart. Cover: my bloody valentine,141,357823,https://open.spotify.com/playlist/37i9dQZF1DX6ujZpAN0v9r
68,Rock Me UP!,"A dose of high energy, feel-good rock tunes. Press play and let the good vibes come your way.",100,609419,https://open.spotify.com/playlist/37i9dQZF1DX0wiundViT27
69,Post Punk 2k,"New no wave, post-punk, and anything else. Cover: Kid Kapichi",55,208723,https://open.spotify.com/playlist/37i9dQZF1DWYwMzXER4RFF
70,Emo Forever,All the standard emo anthems. Cover: Gerard Way,80,1157434,https://open.spotify.com/playlist/37i9dQZF1DX9wa6XirBPv8
71,Classic Hardcore,Classic songs from the legends of the hardcore scene.,50,147011,https://open.spotify.com/playlist/37i9dQZF1DXaGNG7NmtmZv
72,Ultimate Rock Gaming,"Rock out while you game, this is 10+ hours of the best in Rock.",150,433500,https://open.spotify.com/playlist/37i9dQZF1DWZjmJmeiazwd
73,New Boots,New Music Discovery is what we're about.  Try it on for size. Cover: Elvie Shane,120,787779,https://open.spotify.com/playlist/37i9dQZF1DX8S0uQvJ4gaa
74,Wild Country,Country gone wild! You never know what you're gonna get.  Artist: Shy Carter,137,824792,https://open.spotify.com/playlist/37i9dQZF1DX5mB2C8gBeUM
75,Country Gold,Spotify Fan Favorites from the last few years.  Artist: Jon Pardi,91,1679596,https://open.spotify.com/playlist/37i9dQZF1DWYnwbYQ5HnZU
76,Texas Country Now,From the Dance Halls and Honky Tonks across America to the World! Formerly Texas Music Now. Cover: Cody Johnson,125,364720,https://open.spotify.com/playlist/37i9dQZF1DX3Ee0ngF5ZVQ
77,Country Coffeehouse,The Country Coffeehouse is open! Grab a cup and lean back to some low-key country.,83,651858,https://open.spotify.com/playlist/37i9dQZF1DWYiR2Uqcon0X
78,Breakout Country,Top trending new and recent tracks from the last few weeks.  Cover: Morgan Evans,63,228718,https://open.spotify.com/playlist/37i9dQZF1DWW7RgkOJG32Y
79,Country Kind of Love,Nothing but beautiful country love songs. ,85,1499732,https://open.spotify.com/playlist/37i9dQZF1DX8WMG8VPSOJC
80,Country Nights,Nighttime is the right time for these party hits!,90,518084,https://open.spotify.com/playlist/37i9dQZF1DWXi7h4mmmkzD
81,Chillin' on a Dirt Road,Country music to get you back to the basics.,80,2778726,https://open.spotify.com/playlist/37i9dQZF1DWTkxQvqMy4WW
82,Country by the Grace of God,The country way of testifying. Cover: Troy Cartwright,83,237226,https://open.spotify.com/playlist/37i9dQZF1DWU2LcZVHsTdv
83,This Is: Merle Haggard,All Mighty Merle...All The Time!,85,55723,https://open.spotify.com/playlist/37i9dQZF1DWU1xHgjMaSpW
84,This Is:  Johnny Cash,"This is Johnny Cash. The essential tracks, all in one playlist.",75,592825,https://open.spotify.com/playlist/37i9dQZF1DX1kw8OX1mNoI
85,90s Country,Country that made Country Cool! Cover:  Deana Carter,144,1083456,https://open.spotify.com/playlist/37i9dQZF1DWVpjAJGB70vU
86,New Traditions: Country Heroes,The latest music from our Country Heroes. Cover: Toby Keith,96,229721,https://open.spotify.com/playlist/37i9dQZF1DX24Kh15JFQJ0
87,Southern Rock 101,The early pioneers and current favorites in Southern Rock.  Cover:  The Godfather...Charlie Daniels.,106,409949,https://open.spotify.com/playlist/37i9dQZF1DXbDjX0hus3Iu
88,Field Party,"Country rap songs, made to be cranked up.   Cover: Colt Ford",79,140226,https://open.spotify.com/playlist/37i9dQZF1DXc0fQ4sGOnVJ
89,Classic Honky Tonk,"All songs about drinking, cheating, heartaches and everything else going on in a classic honky tonk.",50,3945,https://open.spotify.com/playlist/0NfjMqrzcGKVsbYZmhf4Md
90,Country Rocks,Country Music that ROCKS!! Cover:  Warren Zeiders,107,399894,https://open.spotify.com/playlist/37i9dQZF1DWWH0izG4erma
91,New Jams,"The newest, freshest R&B tunes. Cover: Chlöe",50,831129,https://open.spotify.com/playlist/37i9dQZF1DWUzFXarNiofw
92,Channel X,Where R&B from around the world comes to play with hip-hop & pop!   Cover: Summer Walker,50,1694788,https://open.spotify.com/playlist/37i9dQZF1DX4y8h9WqDPAE
93,Gold Edition,All the jams. Cover: Toni Braxton,40,1732326,https://open.spotify.com/playlist/37i9dQZF1DWXnexX7CktaI
94,Alternative R&B,These progressive R&B and soul tracks can't be put in a box. Cover: Dijon,100,1150615,https://open.spotify.com/playlist/37i9dQZF1DWSfMe9z89s9B
95,Chilled R&B,Chilled R&B jams for your most relaxed moods.,50,2174264,https://open.spotify.com/playlist/37i9dQZF1DX2UgsUIg75Vg
96,The Sweet Suite,Come inside The Sweet Suite and get in the mood with some amazing R&B and soul ballads from the past and present.,40,1314937,https://open.spotify.com/playlist/37i9dQZF1DX2Ma8k80RiMN
97,Soul Revived,"Revive your soul with this playlist, featuring updated takes on classic R&B and soul tunes.",35,273361,https://open.spotify.com/playlist/37i9dQZF1DWY12BqhkMFW2
98,Soul Lounge,"Whether you're lounging at home or out with your friends, let this playlist provide your soundtrack.",50,792803,https://open.spotify.com/playlist/37i9dQZF1DX62Nfha2yFhL
99,'90s Baby Makers,What we're gonna do right now is go back-back in time. Here are all your favorite '90s R&B slow jams!,47,1333323,https://open.spotify.com/playlist/37i9dQZF1DWVEvzGeX3eRs
100,Wine & Dine,"As you prepare and settle into your romantic dinner, let us provide the soundtrack with these RnB/Soul love songs.",51,234661,https://open.spotify.com/playlist/37i9dQZF1DWTJNOeepZTGy
101,Spread the Gospel,Experience the powerful messages and sounds of these gospel tunes.,40,575623,https://open.spotify.com/playlist/37i9dQZF1DX7OIddoQVdRt
102,Funk Outta Here,Funk to these good ol' funky soul classics!,80,713118,https://open.spotify.com/playlist/37i9dQZF1DX70TzPK5buVf
103,I Love My '90s R&B,The '90s had an amazing soundtrack. Let's reminisce with these R&B jams!,45,2733737,https://open.spotify.com/playlist/37i9dQZF1DX6VDO8a6cQME
104,80s Jam Session,Get down and jam out to these throwback '80s R&B and soul tunes!,40,634932,https://open.spotify.com/playlist/37i9dQZF1DX0H8hDpv38Ju
105,I Love My '00s R&B,Check out these throwback R&B jams from the first decade of the 21st century. Cover: Mariah Carey,40,3726430,https://open.spotify.com/playlist/37i9dQZF1DWYmmr74INQlb
106,Queen,For all the beautiful queens! Guest curated by Jennifer Hudson.,50,193529,https://open.spotify.com/playlist/37i9dQZF1DWSIO2QWRavWZ
107,The Rhythm,"Get into the rhythm of SXSW '17 with this collection of tracks from artists set to perform this year. Cover: <a href=""spotify:artist:4TsHKU8l8Wq7n7OPVikirn"">Jidenna</a>.",23,24266,https://open.spotify.com/playlist/37i9dQZF1DWSRMdeGCgprt
108,Dance Rising,"Tomorrow's <a href=""spotify:genre:edm_dance"">dance</a> hits, with Qrion.",100,1958166,https://open.spotify.com/playlist/37i9dQZF1DX8tZsk68tuDw
109,Pop Remix,"Remixed pop and <a href=""spotify:genre:edm_dance"">dance</a> collabs. Cover: Dua Lipa & Elton John.",100,3259618,https://open.spotify.com/playlist/37i9dQZF1DXcZDD7cfEKhW
110,Dance Hits,"All the <a href=""spotify:genre:edm_dance"">big ones</a> with Swedish House Mafia & The Weeknd.",84,3398425,https://open.spotify.com/playlist/37i9dQZF1DX0BcQWzuB7ZO
111,Housewerk,"<a href=""spotify:genre:house"">House</a> music lives here. United in one house. Cover: Chris Lorenzo",90,1567465,https://open.spotify.com/playlist/37i9dQZF1DXa8NOEUWPn9W
112,Friday Cratediggers,"This week's handpicked new <a href=""spotify:genre:edm_dance"">dance and electronic music</a>, featuring new music from Vintage Culture & James Hype.",129,362675,https://open.spotify.com/playlist/37i9dQZF1DXa41CMuUARjl
113,Bass Arcade,"All things <a href=""spotify:genre:bass"">bass</a> with Whipped Cream.",150,920316,https://open.spotify.com/playlist/37i9dQZF1DX0hvSv9Rf41p
114,Brain Food,"<a href=""spotify:genre:space:electronica_chill"">Hypnotic electronic</a> for studies and a relax.",100,3550834,https://open.spotify.com/playlist/37i9dQZF1DWXLeA8Omikj7
115,Lowkey Tech,Chill techno and tech house.,60,656849,https://open.spotify.com/playlist/37i9dQZF1DX0r3x8OtiwEM
116,Chill Tracks,"Softer kinda <a href=""spotify:genre:edm_dance"">dance</a>.",303,3179686,https://open.spotify.com/playlist/37i9dQZF1DX6VdMW310YC7
117,Dance Classics,"<a href=""spotify:genre:edm_dance"">Dance radio</a> hits from the 90s and 00s!",120,1197770,https://open.spotify.com/playlist/37i9dQZF1DX8a1tdzq5tbM
118,mint Acoustic,"<a href=""https://open.spotify.com/genre/edm_dance"">Dance music</a> unplugged.",100,271465,https://open.spotify.com/playlist/37i9dQZF1DX5GiUwx1edLZ
119,creamy,"A sprinkle of bass, warm vocal drizzle, and dreamy <a href=""spotify:genre:edm_dance"">dance music</a>. Featuring new music by Tails.",125,701283,https://open.spotify.com/playlist/37i9dQZF1DXdgz8ZB7c2CP
120,Dance Party,"<a href=""spotify:genre:edm_dance"">Move</a> your feet!",125,4724035,https://open.spotify.com/playlist/37i9dQZF1DXaXB8fQg7xif
121,Deep House Relax,"Forget it and disappear with chill <a href=""spotify:genre:edm_dance"">house</a>.",200,2296099,https://open.spotify.com/playlist/37i9dQZF1DX2TRYkJECvfC
122,Power Hour,Tap it back or go for a spin with these uptempo tracks!,124,2129129,https://open.spotify.com/playlist/37i9dQZF1DX32NsLKyzScr
123,Rocktronic,Rock with a Drop  Cover: Grabbitz \m/,125,224590,https://open.spotify.com/playlist/37i9dQZF1DWTfrr8pte1rT
124,Hardstyle Bangers,Ran-D takeover with his picks of only the biggest Hardstyle,40,832273,https://open.spotify.com/playlist/37i9dQZF1DX0pH2SQMRXnC
125,Happy Beats,"Feel-good <a href=""spotify:genre:edm_dance"">dance music</a>!",150,1689667,https://open.spotify.com/playlist/37i9dQZF1DWSf2RDTDayIx
126,Hype,"Aggressive trap and bass for the <a href=""spotify:genre:edm_dance"">gym</a>.",153,2262757,https://open.spotify.com/playlist/37i9dQZF1DX4eRPd9frC1m
127,metropolis,"The essential indie dance, featuring Flight Facilities",100,772027,https://open.spotify.com/playlist/37i9dQZF1DX8CopunbDxgW
128,Operator,"Tech house technicians, featuring new music by Dombresky and Noizu",145,527652,https://open.spotify.com/playlist/37i9dQZF1DWVY4eLfA3XFQ
129,Night Rider,"Dark and moody progressive <a href=""spotify:genre:edm_dance"">house</a> music for the late night highway.",100,1252101,https://open.spotify.com/playlist/37i9dQZF1DX6GJXiuZRisr
130,Orgánica,"This is a deep tribal sound, combining electronic elements and organic instrumentation, stemming from the folk music of Africa, Latin America, and the Middle East.",60,558711,https://open.spotify.com/playlist/37i9dQZF1DX2pprEpa9URZ
131,Nasty Bits,Real nasty house. Cover: Wenzday,100,355481,https://open.spotify.com/playlist/37i9dQZF1DX2VvACCrgjrt
132,Groove Theory,A feel-good soulful house  and disco selection.,60,309300,https://open.spotify.com/playlist/37i9dQZF1DX1tW4VlEfDSS
133,Shuffle Syndrome,"<a href=""spotify:genre:edm_dance"">Shuffle</a> your heart out. Cover: Tchami",100,800547,https://open.spotify.com/playlist/37i9dQZF1DWUq3wF0JVtEy
134,Stepping Out,Taking the big steps with Drum & Bass.,80,282466,https://open.spotify.com/playlist/37i9dQZF1DWYzMfRQj22Nd
135,Trance Mission,"Setting sights on banging <a href=""spotify:genre:trance_progressive"">trance and progressive</a> with HALIENE.",190,650352,https://open.spotify.com/playlist/37i9dQZF1DX91oIci4su1D
136,Trap Mojito,"A cocktail of <a href=""spotify:genre:edm_dance"">electronic</a> trap and trap-influenced tracks. Featuring new music by Moore Kismet.",100,820995,https://open.spotify.com/playlist/37i9dQZF1DX1OIMC8iDi74
137,UK House Music,Celebrating the biggest UK house bangers. Updated regularly. Cover: Eli Brown,87,698216,https://open.spotify.com/playlist/37i9dQZF1DWSrVdvTl1tVY
138,Heart Beats,"<a href=""spotify:genre:edm_dance"">Dance music</a> for the heart <3",137,1041047,https://open.spotify.com/playlist/37i9dQZF1DWSRc3WJklgBs
139,Dubstep Don,"All <a href=""spotify:genre:bass"">wobble</a>",110,966659,https://open.spotify.com/playlist/37i9dQZF1DX5Q27plkaOQ3
140,EDC Las Vegas 2021 Guest List,Insomniac commemorates the 25th anniversary of its longstanding Electric Daisy Carnival (EDC) dance music festival.,50,673444,https://open.spotify.com/playlist/37i9dQZF1DX3FNkD0kDpDV
141,Haitian Heat,Celebrating Haitian music. Cover: Kanis,100,62051,https://open.spotify.com/playlist/37i9dQZF1DX3XjJqhm9fqD
142,This Is Alesso,Essential Alesso originals and remixes.,51,144064,https://open.spotify.com/playlist/37i9dQZF1DX7nGw3hwYw03
143,This Is Alok,Press play and let's dance with the biggest Brazilian DJ!,66,1561465,https://open.spotify.com/playlist/37i9dQZF1DWZUWZIwpqsT3
144,This Is Axwell Λ Ingrosso,This is the essential Axwell Λ Ingrosso.,24,102279,https://open.spotify.com/playlist/37i9dQZF1DWW3gTjSx5Dc7
145,This Is David Mancuso,"NYC DJ, The Loft founder, and Dance legend David Mancuso passed on Nov 14 2016. This is a Tommie Sunshine, Spotify & Billboard Dance tribute. Without Mancuso there would be no Rave scene, no House Music, no festival culture. His legacy is vast; these are merely some of the classics born of The Loft.",205,29773,https://open.spotify.com/playlist/37i9dQZF1DWY1XXKzcWtF3
146,This Is deadmau5,The essential deadmau5 originals and remixes.,61,168922,https://open.spotify.com/playlist/37i9dQZF1DX87JE1B72J6C
147,This Is Martin Garrix,"The essential tracks by the Dutch <a href=""spotify:artist:60d24wfXkVzDSfLS6hyCjZ"">DJ and producer</a>.",76,842298,https://open.spotify.com/playlist/37i9dQZF1DX94qaYRnkufr
148,This Is Nicky Romero,"This is Nicky Romero. The essential tracks, all in one playlist.",50,67824,https://open.spotify.com/playlist/37i9dQZF1DZ06evO3j5vfW
149,This Is Tchaikovsky,"A thorough introduction to the world of Tchaikovsky, including: dancing swans, brave nutcrackers, enchanted snow maidens and several exploding cannons.",61,187555,https://open.spotify.com/playlist/37i9dQZF1DX2kvBlhyEkb6
150,This Is Richard Strauss,Discover the music of Richard Strauss.,58,13391,https://open.spotify.com/playlist/37i9dQZF1DX37CqNpZIOOZ
151,This Is Bartók,"An introduction to the music of Bartok, Hungary's greatest composer.",60,11133,https://open.spotify.com/playlist/37i9dQZF1DX5ZPNS2aXuN4
152,This Is Prokofiev,An introduction to the best-loved works of Russian composer Sergei Prokofiev.,61,22446,https://open.spotify.com/playlist/37i9dQZF1DX1tT8vLysk8r
153,This Is: John Williams,"An introduction to <a href=""spotify:user:spotify:playlist:37i9dQZF1DWXXW8bE6k5tq"">John Williams'</a> soundtracks.",58,177546,https://open.spotify.com/playlist/37i9dQZF1DWSQeR9oTmnyj
154,This Is: Pavarotti,"A 50-track introduction to Luciano Pavarotti, whose brilliant sound set the standard for operatic singing in the modern era. Including highlights from the operas of Verdi, Puccini, Donizetti and many more, plus Italian folk songs and pop crossover.",50,122532,https://open.spotify.com/playlist/37i9dQZF1DX5M3XSYkKZCl
155,This Is Brahms,Discover the music of Brahms.,59,62933,https://open.spotify.com/playlist/37i9dQZF1DXaQQM8OxjxoC
156,This Is Wagner,"An introduction to the thoroughly dramatic world of Richard Wagner, brimming with ancient legends and timeless love stories.",61,65580,https://open.spotify.com/playlist/37i9dQZF1DX6Hln2awUHXX
157,This Is Satie,"Explore the surreal world of Satie, from serene Gymnopédies, to gothic dances and poetic songs.",60,88128,https://open.spotify.com/playlist/37i9dQZF1DWVTUSNpU0pKJ
158,This Is Ravel,Explore the great works of Maurice Ravel.,69,35132,https://open.spotify.com/playlist/37i9dQZF1DWZhMbcax6CUd
159,This Is Philip Glass,"An introduction to American composer Philip Glass (b. 1937), whose hypnotic and powerful music has become part of our cultural soundtrack.",47,72117,https://open.spotify.com/playlist/37i9dQZF1DX30FdZ6jR5Gl
160,This Is Vivaldi,"A selection of highlights from Vivaldi's celebrated concertos and choral works, proving there's way more to this red-headed baroque legend than just The Four Seasons.",61,237012,https://open.spotify.com/playlist/37i9dQZF1DWTBNkoD4HmYd
161,This Is Liszt,Explore the music of Franz Liszt.,61,57937,https://open.spotify.com/playlist/37i9dQZF1DX93wmY669mVj
162,This Is Debussy,"Inspired by the arts and his own vivid imagination, Debussy defined a new era of musical impressionism. Discover his dreamlike preludes, suites and songs right here.",61,139654,https://open.spotify.com/playlist/37i9dQZF1DWXnRw5VvmZDb
163,This Is Schubert,The essential works of Franz Schubert.,62,78070,https://open.spotify.com/playlist/37i9dQZF1DWY3VlkBR4Jhb
164,This Is: Glenn Gould,"50 great tracks from 20th century's most celebrated piano genius. Beyond his iconic Bach recordings, you will also find his unique interpretation of Beethoven, Scriabin, Strauss, and many other composers from renaissance to modern age.",50,27722,https://open.spotify.com/playlist/37i9dQZF1DWSL7w3snV7Gw
165,This Is: London Symphony Orchestra,"50 highlights from 50 symphonic masterpieces, including favourites selected by the <a href=""spotify:artist:5yxyJsFanEAuwSM5kOuZKc"">orchestra</a> themselves, from collaborations with principal and guest conductors across <a href=""http://lso.co.uk/"">LSO</a>'s century-long history, captured in state-of-the-art recording technology.",50,33257,https://open.spotify.com/playlist/37i9dQZF1DX9l01QzlK1Yo
166,This Is Haydn,"Father of the symphony and string quartet, and teacher to both <a href=""spotify:user:spotify:playlist:1tNvLjwgTtsZH8RlbK6Yib"">Mozart</a> and <a href=""spotify:user:spotify:playlist:4NPecrxm0zdPCIIzVTHUd9"">Beethoven</a>. This is Haydn.",62,47117,https://open.spotify.com/playlist/37i9dQZF1DX16wERbfwQvR
167,This Is Beethoven,"Explore Beethoven's great works in this essential playlist, featuring iconic recordings and special new releases.",78,485560,https://open.spotify.com/playlist/37i9dQZF1DX12YIlzNkccL
